Feature,Importance
저녁_구매비율,0.036358576
대분류_수정_생식품_구매금액,0.035765268
아침_구매건수,0.022189636
주구매_대분류_수정_아동,0.015222849
pivot_cnt_아동_완구,0.0151292635
주구매_중분류_수정_아동_완구,0.015028313
주구매_중분류_수정_의류_의류,0.01487778
대분류_수정_평균금액최대_영,0.013551417
주구매_중분류_수정_명품_명품,0.012259929
주구매_중분류_수정_영_의류,0.011175193
주구매지점_A373000,0.010968186
pivot_cnt_가정용품_잡화,0.010696922
대분류_수정_가정용품_구매횟수,0.010674748
A112000_구매브랜드_갯수,0.010465139
pivot_cnt_가정용품_가구,0.0099812895
주구매_중분류_수정_식료품_식료품,0.009177573
주구매지점_A202000,0.00815509
주구매요일,0.007985328
방문지점수,0.007879252
pivot_cnt_의류_의류,0.0075870138
대분류_수정_명품_구매횟수,0.0075253644
대분류_수정_생식품_구입비중,0.0073664673
공휴일_영_대분류수정_구매횟수,0.0073279366
A202000지점_구매금액,0.0071443217
대분류_수정_영_구매금액,0.0071065337
지점다양성_비율,0.007105286
pivot_cnt_명품_명품,0.0070579313
아침_구매비율,0.007022117
여름_구매비율,0.0069515775
pivot_cnt_식료품_식료품,0.0068863607
pivot_cnt_식료품_음료,0.0064112307
주구매_중분류_수정_의류_화장품,0.0063712033
대분류_수정_아동_구매횟수,0.006318914
주구매지점_A144000,0.0062820115
대분류_수정_아동_구입비중,0.006191923
대분류_수정_평균금액최대_명품,0.00596284
pivot_cnt_의류_잡화,0.005893358
주말방문비율,0.0058629615
대분류_수정_가정용품_구매금액,0.005860375
일별평균구매건수,0.0057294224
내점일수,0.0056054383
최대구매액,0.005568867
pivot_cnt_아동_기타,0.005559804
A1440000_구매브랜드_갯수,0.0055479254
저가_구매횟수,0.005543624
A112000지점_구매금액,0.005474354
A373000_구매브랜드_갯수,0.0054679234
공휴일_대분류수정_생식품_구매금액,0.0054628043
주구매_중분류_수정_의류_잡화,0.005436656
평균구매액,0.0054195444
7월_구매금액,0.0054120156
pivot_cnt_식료품_기타,0.0053674346
9월_구매비율,0.0053505464
중고가_구매횟수,0.0052877516
5월_구매금액,0.005204025
공휴일_구매비율,0.005202933
주구매_대분류_수정_영,0.0051491186
12월_구매비율,0.005143674
3월_구매횟수,0.0051007504
고가_구매비율,0.005061561
주_구매시간대,0.005018523
구매주기,0.005008608
저가_구매비율,0.0050043105
